osm_id,destination,category,name,lat,lon,tourism,amenity,historic,leisure,railway,stars,cuisine,website,opening_hours
1927071784,Extremadura,attraction,Museo Manuel Aznar,39.9776133,-4.9729508,museum,,,,,,,,
1936655678,Extremadura,attraction,Postigo del Salvador,40.0319199,-6.0899828,attraction,,,,,,,,
1936713812,Extremadura,attraction,Puerta del Sol,40.0307211,-6.0867801,,,monument,,,,,,
1940770826,Extremadura,attraction,Puerta Berrozana,40.0305434,-6.0921325,attraction,,city_gate,,,,,,
1942136592,Extremadura,attraction,Fuente de San Nicolás,40.0289933,-6.0932009,,,monument,,,,,,
1962306573,Extremadura,attraction,Cascada del Diablo,40.1305536,-5.4485221,viewpoint,,,,,,,,
1965939142,Extremadura,attraction,Muralla Antigua,39.9184282,-5.1716589,attraction,,,,,,,,
1972883200,Extremadura,attraction,Puente Medieval,39.9805353,-6.5370022,attraction,,,,,,,,
1973464654,Extremadura,attraction,Mirador de la Catedral,39.9817067,-6.5374911,viewpoint,,,,,,,,
1973830679,Extremadura,attraction,Villa Romana do Monte de São Salvador,39.044518,-6.9777814,,,archaeological_site,,,,,,
1987771132,Extremadura,attraction,Centro de interpretación El Corazón del Águila,39.9187886,-5.1747727,museum,,,,,,,,
2082342274,Extremadura,attraction,Galería de captación de agua,39.4643935,-5.3598105,,,archaeological_site,,,,,,
2101686802,Extremadura,attraction,Unknown,40.052469,-5.8572708,viewpoint,,,,,,,,
2180519404,Extremadura,attraction,Unknown,39.7417126,-6.2861454,viewpoint,,,,,,,,
2180519406,Extremadura,attraction,Unknown,39.7421484,-6.2861504,viewpoint,,,,,,,,
2222785016,Extremadura,attraction,Museo Abierto de Mérida,38.9187621,-6.3362979,museum,,,,,,,https://merida.es/servicios-municipales/turismo/mam/,We-Su 10:00-19:30
2222929718,Extremadura,attraction,Estatua ecuestre de Francisco Pizarro,39.4607883,-5.8814173,artwork,,,,,,,,
2232680691,Extremadura,attraction,Cripta de Santa Eulalia,38.9208445,-6.341848,,,archaeological_site,,,,,,
2242702572,Extremadura,attraction,Castillo de Azagala,39.2227667,-6.8542163,,,castle,,,,,,
2242795551,Extremadura,attraction,Castillo de Piedrabuena,39.3199146,-6.9762069,,,castle,,,,,,
2258534531,Extremadura,attraction,Ermita de los Santiagos,39.2355603,-6.9002373,,,ruins,,,,,,
2274934293,Extremadura,attraction,Atalaya romana de Cerro Gimio,39.8413259,-6.0536721,,,ruins,,,,,,
2277334915,Extremadura,attraction,Mirador de la Ermita,39.9808956,-6.4835016,viewpoint,,,,,,,,
2280532195,Extremadura,attraction,Pozo de Alcántara,39.219223,-7.0017652,,,archaeological_site,,,,,,
2288042619,Extremadura,attraction,Mirador de La Montaña (2),39.462207,-6.3520841,viewpoint,,,,,,,,
2293065820,Extremadura,attraction,Puerta de Santiago,39.4606049,-5.8831196,attraction,,city_gate,,,,,,
2293066199,Extremadura,attraction,Unknown,39.4625865,-5.8838464,viewpoint,,,,,,,,
2309799577,Extremadura,attraction,Monumento de la Hispanidad,38.8765834,-6.976217,,,monument,,,,,,
2407315939,Extremadura,attraction,Rollo jurisdiccional,39.8872126,-5.6783416,,,monument,,,,,,
2407324711,Extremadura,attraction,Iglesia parroquial de San Juan Bautista,39.8516418,-5.6747957,,,monument,,,,,,
2407676829,Extremadura,attraction,Puente de Almaraz o Albalat,39.7804654,-5.6960705,,,monument,,,,,,
2407676906,Extremadura,attraction,Ruinas de Majadat al-Balat o Albalat,39.7746482,-5.7200226,,,ruins,,,,,,
2407680449,Extremadura,attraction,Castillo de Belvís,39.8200081,-5.6122411,,,castle,,,,,,
2407681421,Extremadura,attraction,CONVENTO DE SAN FRANCISCO DEL BERROCAL,39.8111198,-5.5980865,,,monument,,,,,,
2407682650,Extremadura,attraction,Punto observación del Castillo de Belvís,39.8204756,-5.612407,viewpoint,,,,,,,,
2407705047,Extremadura,attraction,Ex convento dominicas de Santa Ana,39.8178179,-5.6078106,,,monument,,,,,,
2407765267,Extremadura,attraction,Iglesia parroquial de la Purísima Concepción,39.4263321,-5.753628,,,monument,,,,,,
2407765551,Extremadura,attraction,Rollo jurisdiccional (Mona del Rollo o Picota),39.4272892,-5.7525873,,,monument,,,,,,
2408671658,Extremadura,attraction,Palacio de los Toledo - Moctezuma,39.4753489,-6.3704556,,,monument,,,,,,
2408672137,Extremadura,attraction,Casa del Mono,39.473939,-6.3710243,,,monument,,,,,,
2408672728,Extremadura,attraction,Centro de Interpretación de la Semana Santa Cacereña,39.4736366,-6.370406,museum,,,,,,,,
