poi_id,name,destination,region,destination_type,capacity_index,category,asset_type,lat,lon,stars,cuisine,website
1145345064,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7399434,3.3139154,,,
1146984971,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7916374,2.6867487,,,
1147386350,Marquès del Reguer,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.5421993,3.3381286,,,
1151456656,Casa de neu,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.7714084,2.7851503,,,
1152038310,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7344567,2.7901133,,,
1163138062,Coves de l'Alzinaret,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.9150249,3.0480575,,,
1167810713,Casa natal de Santa Catalina Thomàs,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7104912,2.6256036,,,
1167810715,Coll Bardolet,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7100094,2.6222395,,,
1167810716,Palau del Rei Sanç,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.7092145,2.6229146,,,
1169667799,Museu Arqueològic,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7465574,2.6479489,,,https://sonfornes.mallorca.museum
1173127509,Museu Dionís Bennàssar,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.879188,3.0173207,,,https://www.museudionisbennassar.com
1173127517,Museu Martí Vicenç,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.8786674,3.0140189,,,
1186641412,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7428581,3.3248585,,,
1200595991,Capella d'en Ramon LLull,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.7379719,2.6133563,,,
1200595994,Mirador des Creuer,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.7389184,2.6143966,,,
1200596000,mirador de s'Erassa,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7288819,2.6033528,,,
1242612574,Nus de sa Corbata,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.8323368,2.8159767,,,
